Time,C1_X,C1_Y,C1_Z
1731067770.88,5000.5,5000.5,0.0
1731067771.38,5000.63,5000.69,0.0
1731067771.88,5000.76,5000.88,0.0
1731067772.38,5000.89,5001.07,0.0
1731067772.88,5001.02,5001.26,0.0
1731067773.38,5001.15,5001.45,0.0
1731067773.88,5001.28,5001.64,0.0
1731067774.38,5001.41,5001.83,0.0
1731067774.88,5001.54,5002.02,0.0
1731067775.38,5001.67,5002.21,0.0
1731067775.88,5001.8,5002.4,0.0
1731067776.38,5001.93,5002.59,0.0
1731067776.88,5002.06,5002.78,0.0
1731067777.38,5002.19,5002.97,0.0
1731067777.88,5002.32,5003.16,0.0
1731067778.38,5002.45,5003.35,0.0
1731067778.88,5002.58,5003.54,0.0
1731067779.38,5002.71,5003.73,0.0
1731067779.89,5002.84,5003.92,0.0
1731067780.39,5002.97,5004.11,0.0
1731067780.89,5003.1,5004.3,0.0
1731067781.39,5003.23,5004.49,0.0
1731067781.89,5003.36,5004.68,0.0
1731067782.39,5003.49,5004.87,0.0
1731067782.89,5003.62,5005.06,0.0
1731067783.39,5003.75,5005.25,0.0
1731067783.89,5003.88,5005.44,0.0
1731067784.39,5004.01,5005.63,0.0
1731067784.89,5004.14,5005.82,0.0
1731067785.39,5004.27,5006.01,0.0
1731067785.89,5004.4,5006.2,0.0
1731067786.39,5004.53,5006.39,0.0
1731067786.89,5004.66,5006.58,0.0
1731067787.4,5004.79,5006.77,0.0
1731067787.89,5004.92,5006.96,0.0
1731067788.4,5005.05,5007.15,0.0
1731067788.9,5005.18,5007.34,0.0
1731067789.4,5005.31,5007.53,0.0
1731067789.9,5005.44,5007.72,0.0
1731067790.4,5005.57,5007.91,0.0
1731067790.9,5005.7,5008.1,0.0
1731067791.4,5005.83,5008.29,0.0
1731067791.9,5005.96,5008.48,0.0
1731067792.4,5006.09,5008.67,0.0
1731067792.9,5006.22,5008.86,0.0
1731067793.4,5006.35,5009.05,0.0
1731067793.9,5006.48,5009.24,0.0
1731067794.4,5006.61,5009.43,0.0
1731067794.9,5006.74,5009.62,0.0
1731067795.4,5006.87,5009.81,0.0
1731067795.9,5007.0,5010.0,0.0
1731067796.4,5007.13,5010.19,0.0
1731067796.9,5007.26,5010.38,0.0
1731067797.41,5007.39,5010.57,0.0
1731067797.91,5007.52,5010.76,0.0
