Time,F1_X,F1_Y,F1_Z
1731067770.88,7000.5,9000.0,0.0
1731067771.37,7000.6,9000.1,0.0
1731067771.87,7000.7,9000.2,0.0
1731067772.37,7000.8,9000.3,0.0
1731067772.87,7000.9,9000.4,0.0
1731067773.38,7001.0,9000.5,0.0
1731067773.88,7001.1,9000.6,0.0
1731067774.38,7001.2,9000.7,0.0
1731067774.88,7001.3,9000.8,0.0
1731067775.38,7001.4,9000.9,0.0
1731067775.88,7001.5,9001.0,0.0
1731067776.38,7001.6,9001.1,0.0
1731067776.88,7001.7,9001.2,0.0
1731067777.38,7001.8,9001.3,0.0
1731067777.88,7001.9,9001.4,0.0
1731067778.38,7002.0,9001.5,0.0
1731067778.88,7002.1,9001.6,0.0
1731067779.38,7002.2,9001.7,0.0
1731067779.88,7002.3,9001.8,0.0
1731067780.38,7002.4,9001.9,0.0
1731067780.88,7002.5,9002.0,0.0
1731067781.38,7002.6,9002.1,0.0
1731067781.88,7002.7,9002.2,0.0
1731067782.38,7002.8,9002.3,0.0
1731067782.89,7002.9,9002.4,0.0
1731067783.39,7003.0,9002.5,0.0
1731067783.89,7003.1,9002.6,0.0
1731067784.39,7003.2,9002.7,0.0
1731067784.89,7003.3,9002.8,0.0
1731067785.39,7003.4,9002.9,0.0
1731067785.89,7003.5,9003.0,0.0
1731067786.39,7003.6,9003.1,0.0
1731067786.89,7003.7,9003.2,0.0
1731067787.39,7003.8,9003.3,0.0
1731067787.89,7003.9,9003.4,0.0
1731067788.39,7004.0,9003.5,0.0
1731067788.89,7004.1,9003.6,0.0
1731067789.39,7004.2,9003.7,0.0
1731067789.89,7004.3,9003.8,0.0
1731067790.39,7004.4,9003.9,0.0
1731067790.9,7004.5,9004.0,0.0
1731067791.4,7004.6,9004.1,0.0
1731067791.9,7004.7,9004.2,0.0
1731067792.4,7004.8,9004.3,0.0
1731067792.9,7004.9,9004.4,0.0
1731067793.4,7005.0,9004.5,0.0
1731067793.9,7005.1,9004.6,0.0
1731067794.4,7005.2,9004.7,0.0
1731067794.9,7005.3,9004.8,0.0
1731067795.4,7005.4,9004.9,0.0
1731067795.9,7005.5,9005.0,0.0
1731067796.4,7005.6,9005.1,0.0
1731067796.9,7005.7,9005.2,0.0
1731067797.4,7005.8,9005.3,0.0
1731067797.9,7005.9,9005.4,0.0
1731067798.4,7006.0,9005.5,0.0
1731067798.9,7006.1,9005.6,0.0
1731067799.4,7006.2,9005.7,0.0
1731067799.9,7006.3,9005.8,0.0
1731067800.41,7006.4,9005.9,0.0
1731067800.91,7006.5,9006.0,0.0
1731067801.41,7006.6,9006.1,0.0
1731067801.91,7006.7,9006.2,0.0
1731067802.41,7006.8,9006.3,0.0
1731067802.91,7006.9,9006.4,0.0
1731067803.41,7007.0,9006.5,0.0
1731067803.91,7007.1,9006.6,0.0
1731067804.41,7007.2,9006.7,0.0
1731067804.91,7007.3,9006.8,0.0
1731067805.41,7007.4,9006.9,0.0
1731067805.91,7007.5,9007.0,0.0
1731067806.41,7007.6,9007.1,0.0
1731067806.91,7007.7,9007.2,0.0
1731067807.41,7007.8,9007.3,0.0
1731067807.91,7007.9,9007.4,0.0
1731067808.41,7008.0,9007.5,0.0
1731067808.91,7008.1,9007.6,0.0
1731067809.41,7008.2,9007.7,0.0
1731067809.92,7008.3,9007.8,0.0
1731067810.41,7008.4,9007.9,0.0
1731067810.92,7008.5,9008.0,0.0
1731067811.42,7008.6,9008.1,0.0
1731067811.92,7008.7,9008.2,0.0
1731067812.42,7008.8,9008.3,0.0
1731067812.92,7008.9,9008.4,0.0
1731067813.42,7009.0,9008.5,0.0
1731067813.92,7009.1,9008.6,0.0
1731067814.42,7009.2,9008.7,0.0
1731067814.92,7009.3,9008.8,0.0
1731067815.42,7009.4,9008.9,0.0
1731067815.92,7009.5,9009.0,0.0
1731067816.42,7009.6,9009.1,0.0
1731067816.92,7009.7,9009.2,0.0
1731067817.42,7009.8,9009.3,0.0
1731067817.92,7009.9,9009.4,0.0
1731067818.42,7010.0,9009.5,0.0
1731067818.92,7010.1,9009.6,0.0
1731067819.42,7010.2,9009.7,0.0
1731067819.92,7010.3,9009.8,0.0
1731067820.42,7010.4,9009.9,0.0
1731067820.93,7010.5,9010.0,0.0
1731067821.43,7010.6,9010.1,0.0
1731067821.93,7010.7,9010.2,0.0
1731067822.43,7010.8,9010.3,0.0
1731067822.93,7010.9,9010.4,0.0
1731067823.43,7011.0,9010.5,0.0
1731067823.93,7011.1,9010.6,0.0
1731067824.43,7011.2,9010.7,0.0
1731067824.93,7011.3,9010.8,0.0
1731067825.43,7011.4,9010.9,0.0
1731067825.93,7011.5,9011.0,0.0
1731067826.43,7011.6,9011.1,0.0
1731067826.93,7011.7,9011.2,0.0
1731067827.43,7011.8,9011.3,0.0
1731067827.93,7011.9,9011.4,0.0
1731067828.43,7012.0,9011.5,0.0
1731067828.93,7012.1,9011.6,0.0
1731067829.43,7012.2,9011.7,0.0
1731067829.93,7012.3,9011.8,0.0
1731067830.43,7012.4,9011.9,0.0
1731067830.93,7012.5,9012.0,0.0
1731067831.44,7012.6,9012.1,0.0
