Time,F2_X,F2_Y,F2_Z
1731067770.88,6500.0,9500.0,0.0
1731067771.37,6500.1,9500.15,0.0
1731067771.87,6500.2,9500.3,0.0
1731067772.38,6500.3,9500.45,0.0
1731067772.88,6500.4,9500.6,0.0
1731067773.38,6500.5,9500.75,0.0
1731067773.88,6500.6,9500.9,0.0
1731067774.38,6500.7,9501.05,0.0
1731067774.88,6500.8,9501.2,0.0
1731067775.38,6500.9,9501.35,0.0
1731067775.88,6501.0,9501.5,0.0
1731067776.38,6501.1,9501.65,0.0
1731067776.88,6501.2,9501.8,0.0
1731067777.38,6501.3,9501.95,0.0
1731067777.88,6501.4,9502.1,0.0
1731067778.38,6501.5,9502.25,0.0
1731067778.88,6501.6,9502.4,0.0
1731067779.38,6501.7,9502.55,0.0
1731067779.88,6501.8,9502.7,0.0
1731067780.39,6501.9,9502.85,0.0
1731067780.89,6502.0,9503.0,0.0
1731067781.38,6502.1,9503.15,0.0
1731067781.88,6502.2,9503.3,0.0
1731067782.39,6502.3,9503.45,0.0
1731067782.89,6502.4,9503.6,0.0
1731067783.39,6502.5,9503.75,0.0
1731067783.89,6502.6,9503.9,0.0
1731067784.39,6502.7,9504.05,0.0
1731067784.89,6502.8,9504.2,0.0
1731067785.39,6502.9,9504.35,0.0
1731067785.89,6503.0,9504.5,0.0
1731067786.39,6503.1,9504.65,0.0
1731067786.89,6503.2,9504.8,0.0
1731067787.39,6503.3,9504.95,0.0
1731067787.89,6503.4,9505.1,0.0
1731067788.39,6503.5,9505.25,0.0
1731067788.89,6503.6,9505.4,0.0
1731067789.39,6503.7,9505.55,0.0
1731067789.89,6503.8,9505.7,0.0
1731067790.4,6503.9,9505.85,0.0
1731067790.9,6504.0,9506.0,0.0
1731067791.4,6504.1,9506.15,0.0
1731067791.9,6504.2,9506.3,0.0
1731067792.4,6504.3,9506.45,0.0
1731067792.9,6504.4,9506.6,0.0
1731067793.4,6504.5,9506.75,0.0
1731067793.9,6504.6,9506.9,0.0
1731067794.4,6504.7,9507.05,0.0
1731067794.9,6504.8,9507.2,0.0
1731067795.4,6504.9,9507.35,0.0
1731067795.9,6505.0,9507.5,0.0
1731067796.4,6505.1,9507.65,0.0
1731067796.9,6505.2,9507.8,0.0
1731067797.4,6505.3,9507.95,0.0
1731067797.9,6505.4,9508.1,0.0
1731067798.4,6505.5,9508.25,0.0
1731067798.91,6505.6,9508.4,0.0
1731067799.41,6505.7,9508.55,0.0
1731067799.91,6505.8,9508.7,0.0
1731067800.41,6505.9,9508.85,0.0
1731067800.91,6506.0,9509.0,0.0
1731067801.41,6506.1,9509.15,0.0
1731067801.91,6506.2,9509.3,0.0
1731067802.41,6506.3,9509.45,0.0
1731067802.91,6506.4,9509.6,0.0
1731067803.41,6506.5,9509.75,0.0
1731067803.91,6506.6,9509.9,0.0
1731067804.41,6506.7,9510.05,0.0
1731067804.91,6506.8,9510.2,0.0
1731067805.41,6506.9,9510.35,0.0
1731067805.91,6507.0,9510.5,0.0
1731067806.41,6507.1,9510.65,0.0
1731067806.91,6507.2,9510.8,0.0
1731067807.41,6507.3,9510.95,0.0
1731067807.91,6507.4,9511.1,0.0
1731067808.41,6507.5,9511.25,0.0
1731067808.91,6507.6,9511.4,0.0
1731067809.41,6507.7,9511.55,0.0
1731067809.92,6507.8,9511.7,0.0
1731067810.42,6507.9,9511.85,0.0
1731067810.92,6508.0,9512.0,0.0
1731067811.42,6508.1,9512.15,0.0
1731067811.92,6508.2,9512.3,0.0
1731067812.42,6508.3,9512.45,0.0
1731067812.92,6508.4,9512.6,0.0
1731067813.42,6508.5,9512.75,0.0
1731067813.92,6508.6,9512.9,0.0
1731067814.42,6508.7,9513.05,0.0
1731067814.92,6508.8,9513.2,0.0
1731067815.42,6508.9,9513.35,0.0
1731067815.92,6509.0,9513.5,0.0
1731067816.42,6509.1,9513.65,0.0
1731067816.92,6509.2,9513.8,0.0
1731067817.42,6509.3,9513.95,0.0
1731067817.92,6509.4,9514.1,0.0
1731067818.42,6509.5,9514.25,0.0
1731067818.92,6509.6,9514.4,0.0
1731067819.43,6509.7,9514.55,0.0
1731067819.92,6509.8,9514.7,0.0
1731067820.43,6509.9,9514.85,0.0
1731067820.93,6510.0,9515.0,0.0
1731067821.43,6510.1,9515.15,0.0
1731067821.93,6510.2,9515.3,0.0
1731067822.43,6510.3,9515.45,0.0
1731067822.93,6510.4,9515.6,0.0
1731067823.43,6510.5,9515.75,0.0
1731067823.93,6510.6,9515.9,0.0
1731067824.43,6510.7,9516.05,0.0
1731067824.93,6510.8,9516.2,0.0
1731067825.43,6510.9,9516.35,0.0
1731067825.93,6511.0,9516.5,0.0
1731067826.43,6511.1,9516.65,0.0
1731067826.93,6511.2,9516.8,0.0
1731067827.43,6511.3,9516.95,0.0
1731067827.93,6511.4,9517.1,0.0
1731067828.43,6511.5,9517.25,0.0
1731067828.93,6511.6,9517.4,0.0
1731067829.43,6511.7,9517.55,0.0
1731067829.93,6511.8,9517.7,0.0
1731067830.43,6511.9,9517.85,0.0
1731067830.94,6512.0,9518.0,0.0
1731067831.44,6512.1,9518.15,0.0
1731067831.94,6512.2,9518.3,0.0
1731067832.44,6512.3,9518.45,0.0
1731067832.94,6512.4,9518.6,0.0
1731067833.44,6512.5,9518.75,0.0
1731067833.94,6512.6,9518.9,0.0
1731067834.44,6512.7,9519.05,0.0
1731067834.94,6512.8,9519.2,0.0
1731067835.44,6512.9,9519.35,0.0
1731067835.94,6513.0,9519.5,0.0
1731067836.44,6513.1,9519.65,0.0
1731067836.94,6513.2,9519.8,0.0
1731067837.44,6513.3,9519.95,0.0
1731067837.94,6513.4,9520.1,0.0
1731067838.44,6513.5,9520.25,0.0
1731067838.94,6513.6,9520.4,0.0
1731067839.44,6513.7,9520.55,0.0
1731067839.94,6513.8,9520.7,0.0
1731067840.44,6513.9,9520.85,0.0
1731067840.94,6514.0,9521.0,0.0
1731067841.44,6514.1,9521.15,0.0
1731067841.94,6514.2,9521.3,0.0
1731067842.45,6514.3,9521.45,0.0
1731067842.95,6514.4,9521.6,0.0
1731067843.45,6514.5,9521.75,0.0
1731067843.95,6514.6,9521.9,0.0
1731067844.45,6514.7,9522.05,0.0
1731067844.95,6514.8,9522.2,0.0
1731067845.45,6514.9,9522.35,0.0
1731067845.95,6515.0,9522.5,0.0
1731067846.45,6515.1,9522.65,0.0
1731067846.95,6515.2,9522.8,0.0
1731067847.45,6515.3,9522.95,0.0
1731067847.95,6515.4,9523.1,0.0
1731067848.45,6515.5,9523.25,0.0
1731067848.95,6515.6,9523.4,0.0
1731067849.45,6515.7,9523.55,0.0
1731067849.95,6515.8,9523.7,0.0
1731067850.45,6515.9,9523.85,0.0
1731067850.95,6516.0,9524.0,0.0
1731067851.45,6516.1,9524.15,0.0
1731067851.96,6516.2,9524.3,0.0
1731067852.46,6516.3,9524.45,0.0
1731067852.96,6516.4,9524.6,0.0
1731067853.46,6516.5,9524.75,0.0
1731067853.96,6516.6,9524.9,0.0
1731067854.46,6516.7,9525.05,0.0
1731067854.96,6516.8,9525.2,0.0
1731067855.46,6516.9,9525.35,0.0
1731067855.96,6517.0,9525.5,0.0
1731067856.46,6517.1,9525.65,0.0
1731067856.96,6517.2,9525.8,0.0
1731067857.46,6517.3,9525.95,0.0
1731067857.96,6517.4,9526.1,0.0
1731067858.46,6517.5,9526.25,0.0
1731067858.96,6517.6,9526.4,0.0
1731067859.46,6517.7,9526.55,0.0
1731067859.96,6517.8,9526.7,0.0
1731067860.47,6517.9,9526.85,0.0
1731067860.96,6518.0,9527.0,0.0
1731067861.47,6518.1,9527.15,0.0
1731067861.96,6518.2,9527.3,0.0
1731067862.46,6518.3,9527.45,0.0
1731067862.97,6518.4,9527.6,0.0
1731067863.47,6518.5,9527.75,0.0
1731067863.97,6518.6,9527.9,0.0
1731067864.47,6518.7,9528.05,0.0
1731067864.97,6518.8,9528.2,0.0
1731067865.47,6518.9,9528.35,0.0
1731067865.97,6519.0,9528.5,0.0
1731067866.47,6519.1,9528.65,0.0
1731067866.97,6519.2,9528.8,0.0
1731067867.47,6519.3,9528.95,0.0
1731067867.97,6519.4,9529.1,0.0
1731067868.47,6519.5,9529.25,0.0
1731067868.97,6519.6,9529.4,0.0
1731067869.47,6519.7,9529.55,0.0
1731067869.97,6519.8,9529.7,0.0
1731067870.47,6519.9,9529.85,0.0
1731067870.97,6520.0,9530.0,0.0
1731067871.47,6520.1,9530.15,0.0
1731067871.97,6520.2,9530.3,0.0
1731067872.48,6520.3,9530.45,0.0
1731067872.98,6520.4,9530.6,0.0
1731067873.48,6520.5,9530.75,0.0
1731067873.98,6520.6,9530.9,0.0
1731067874.48,6520.7,9531.05,0.0
1731067874.98,6520.8,9531.2,0.0
1731067875.48,6520.9,9531.35,0.0
1731067875.98,6521.0,9531.5,0.0
1731067876.48,6521.1,9531.65,0.0
1731067876.98,6521.2,9531.8,0.0
1731067877.48,6521.3,9531.95,0.0
1731067877.98,6521.4,9532.1,0.0
1731067878.48,6521.5,9532.25,0.0
1731067878.98,6521.6,9532.4,0.0
1731067879.48,6521.7,9532.55,0.0
1731067879.98,6521.8,9532.7,0.0
1731067880.48,6521.9,9532.85,0.0
1731067880.98,6522.0,9533.0,0.0
1731067881.48,6522.1,9533.15,0.0
1731067881.98,6522.2,9533.3,0.0
1731067882.48,6522.3,9533.45,0.0
1731067882.99,6522.4,9533.6,0.0
1731067883.49,6522.5,9533.75,0.0
1731067883.99,6522.6,9533.9,0.0
1731067884.49,6522.7,9534.05,0.0
1731067884.99,6522.8,9534.2,0.0
1731067885.49,6522.9,9534.35,0.0
1731067885.99,6523.0,9534.5,0.0
1731067886.49,6523.1,9534.65,0.0
1731067886.99,6523.2,9534.8,0.0
1731067887.49,6523.3,9534.95,0.0
1731067887.99,6523.4,9535.1,0.0
1731067888.49,6523.5,9535.25,0.0
1731067888.99,6523.6,9535.4,0.0
1731067889.49,6523.7,9535.55,0.0
1731067889.99,6523.8,9535.7,0.0
1731067890.49,6523.9,9535.85,0.0
1731067891.0,6524.0,9536.0,0.0
1731067891.5,6524.1,9536.15,0.0
1731067892.0,6524.2,9536.3,0.0
1731067892.5,6524.3,9536.45,0.0
1731067893.0,6524.4,9536.6,0.0
1731067893.5,6524.5,9536.75,0.0
1731067894.0,6524.6,9536.9,0.0
1731067894.5,6524.7,9537.05,0.0
1731067895.0,6524.8,9537.2,0.0
1731067895.5,6524.9,9537.35,0.0
1731067896.0,6525.0,9537.5,0.0
1731067896.5,6525.1,9537.65,0.0
1731067897.0,6525.2,9537.8,0.0
1731067897.5,6525.3,9537.95,0.0
1731067898.0,6525.4,9538.1,0.0
1731067898.5,6525.5,9538.25,0.0
1731067899.0,6525.6,9538.4,0.0
1731067899.5,6525.7,9538.55,0.0
1731067900.0,6525.8,9538.7,0.0
1731067900.51,6525.9,9538.85,0.0
1731067901.01,6526.0,9539.0,0.0
1731067901.51,6526.1,9539.15,0.0
1731067902.01,6526.2,9539.3,0.0
1731067902.51,6526.3,9539.45,0.0
1731067903.01,6526.4,9539.6,0.0
1731067903.51,6526.5,9539.75,0.0
1731067904.01,6526.6,9539.9,0.0
1731067904.51,6526.7,9540.05,0.0
1731067905.01,6526.8,9540.2,0.0
1731067905.51,6526.9,9540.35,0.0
1731067906.01,6527.0,9540.5,0.0
1731067906.51,6527.1,9540.65,0.0
1731067907.01,6527.2,9540.8,0.0
1731067907.51,6527.3,9540.95,0.0
1731067908.01,6527.4,9541.1,0.0
1731067908.51,6527.5,9541.25,0.0
1731067909.02,6527.6,9541.4,0.0
1731067909.51,6527.7,9541.55,0.0
1731067910.02,6527.8,9541.7,0.0
1731067910.51,6527.9,9541.85,0.0
1731067911.02,6528.0,9542.0,0.0
1731067911.52,6528.1,9542.15,0.0
1731067912.02,6528.2,9542.3,0.0
1731067912.52,6528.3,9542.45,0.0
1731067913.02,6528.4,9542.6,0.0
1731067913.52,6528.5,9542.75,0.0
1731067914.02,6528.6,9542.9,0.0
1731067914.52,6528.7,9543.05,0.0
1731067915.02,6528.8,9543.2,0.0
1731067915.52,6528.9,9543.35,0.0
1731067916.02,6529.0,9543.5,0.0
1731067916.52,6529.1,9543.65,0.0
1731067917.02,6529.2,9543.8,0.0
1731067917.52,6529.3,9543.95,0.0
1731067918.02,6529.4,9544.1,0.0
1731067918.52,6529.5,9544.25,0.0
1731067919.02,6529.6,9544.4,0.0
1731067919.52,6529.7,9544.55,0.0
1731067920.02,6529.8,9544.7,0.0
1731067920.53,6529.9,9544.85,0.0
1731067921.03,6530.0,9545.0,0.0
1731067921.53,6530.1,9545.15,0.0
1731067922.03,6530.2,9545.3,0.0
1731067922.53,6530.3,9545.45,0.0
1731067923.03,6530.4,9545.6,0.0
1731067923.53,6530.5,9545.75,0.0
1731067924.03,6530.6,9545.9,0.0
1731067924.53,6530.7,9546.05,0.0
1731067925.03,6530.8,9546.2,0.0
1731067925.53,6530.9,9546.35,0.0
1731067926.03,6531.0,9546.5,0.0
1731067926.53,6531.1,9546.65,0.0
1731067927.03,6531.2,9546.8,0.0
1731067927.53,6531.3,9546.95,0.0
1731067928.03,6531.4,9547.1,0.0
1731067928.53,6531.5,9547.25,0.0
1731067929.03,6531.6,9547.4,0.0
1731067929.53,6531.7,9547.55,0.0
1731067930.04,6531.8,9547.7,0.0
1731067930.54,6531.9,9547.85,0.0
1731067931.04,6532.0,9548.0,0.0
1731067931.54,6532.1,9548.15,0.0
1731067932.04,6532.2,9548.3,0.0
1731067932.54,6532.3,9548.45,0.0
1731067933.04,6532.4,9548.6,0.0
1731067933.54,6532.5,9548.75,0.0
1731067934.04,6532.6,9548.9,0.0
1731067934.54,6532.7,9549.05,0.0
1731067935.04,6532.8,9549.2,0.0
